"API_URL","http://api-pl.easypack24.net/"
"no terminals in your city","no terminals in your city"
"Map","Map"
"Show terminals in other cities","Show terminals in other cities"
"Mobile e.g. 523045856","Mobile e.g. 523045856"
"Select Machine..","Select Machine.."
"Phone validation error","Phone validation error"
"Edit parcel","Edit parcel"
"Parcel update","Parcel update"
"Parcel detail","Parcel detail"
"Parcel box machine","Parcel box machine"
"Parcel description","Parcel description"
"Parcel size","Parcel size"
"Parcel status","Parcel status"
"Order ID","Order ID"
"Parcel ID","Parcel ID"
"Status","Status"
"Machine ID","Machine ID"
"Sticker creation date","Sticker creation date"
"Creation date","Creation date"
"Action","Action"
"Edit","Edit"
"Parcel stickers in pdf format","Parcel stickers in pdf format"
"Parcel refresh status","Parcel refresh status"
"Cancel","Cancel"
"Are you sure?","Are you sure?"
"Parcels","Parcels"
"%s sticker(s) cannot be generated","%s sticker(s) cannot be generated"
"The sticker(s) cannot be generated","The sticker(s) cannot be generated"
"%s sticker(s) have been generated.","%s sticker(s) have been generated."
"Parcel ID is empty","Parcel ID is empty"
"%s parcel status cannot be refresh","%s parcel status cannot be refresh"
"The parcel status cannot be refresh","The parcel status cannot be refresh"
"%s parcel cannot be cancel","%s parcel cannot be cancel"
"The parcel cannot be cancel","The parcel cannot be cancel"
"%s parcel have been cancel.","%s parcel have been cancel."
"Parcel %s must be shipment first in section sales/order","Parcel %s must be shipment first in section sales/order"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Order number:","Order number:"
"Cannot create parcel.","Cannot create parcel."


"InPost Parcel Lockers 24/7 ver.","InPost Parcel Lockers 24/7 ver."
"Title","Title"
"Method Name","Method Name"
"Api url","Api url"
"Api key","Api key"
"Description","Description"
"Description shown to customer","Description shown to customer"
"Price","Price"
"Max weight","Max weight"
"Max weight is 25","Max weight is 25"
"Max dimension - size A","Max dimension - size A"
"Size A","Size A"
"Max dimension - size B","Max dimension - size B"
"Size B","Size B"
"Max dimension - size C","Max dimension - size C"
"Size C","Size C"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"


